ComponentID	Component	Count
1	一	402
2	｜	229
3	丶	106
4	ノ	246
5	乙	24
6	亅	64
7	二	181
8	亠	154
9	人	65
10	化	110
11	个	72
12	儿	88
13	入	3
14	ハ	185
15	并	141
16	冂	76
17	冖	68
18	冫	35
19	几	34
20	凵	20
21	刀	35
22	刈	44
23	力	36
24	勹	70
25	匕	56
26	匚	16
27	十	136
28	卜	33
29	卩	29
30	厂	56
31	厶	77
32	又	93
33	マ	13
34	九	17
35	ユ	6
36	乃	5
37	乞	125
38	込	57
39	口	383
40	囗	21
41	土	165
42	士	29
43	夂	49
44	夕	21
45	大	102
46	女	49
47	子	24
48	宀	77
49	寸	48
50	小	129
51	尚	38
52	尢	4
53	尸	60
54	屮	3
55	山	36
56	川	9
57	巛	3
58	工	21
59	已	19
60	巾	37
61	干	20
62	幺	88
63	广	38
64	廴	9
65	廾	38
66	弋	9
67	弓	17
68	ヨ	42
69	彑	2
70	彡	16
71	彳	30
72	忙	31
73	扎	89
74	汁	122
75	犯	15
76	艾	82
77	邦	14
78	阡	33
79	也	4
80	亡	9
81	及	4
82	久	2
83	老	16
84	心	69
85	戈	48
86	戸	15
87	手	15
88	支	7
89	攵	44
90	文	9
91	斗	5
92	斤	30
93	方	21
94	无	0
95	日	211
96	曰	0
97	月	103
98	木	166
99	欠	20
100	止	42
101	歹	9
102	殳	18
103	比	12
104	毛	3
105	氏	9
106	气	2
107	水	26
108	火	20
109	杰	47
110	爪	29
111	父	8
112	爻	1
113	爿	9
114	片	2
115	牛	16
116	犬	10
117	礼	13
118	王	75
119	元	6
120	井	11
121	勿	10
122	尤	3
123	五	3
124	屯	4
125	巴	3
126	毋	11
127	玄	6
128	瓦	2
129	甘	14
130	生	8
131	用	12
132	田	121
133	疋	15
134	疔	16
135	癶	8
136	白	30
137	皮	8
138	皿	19
139	目	137
140	矛	5
141	矢	22
142	石	19
143	示	21
144	禹	8
145	禾	41
146	穴	14
147	立	67
148	初	10
149	世	2
150	巨	3
151	冊	8
152	母	11
153	買	22
154	牙	7
155	瓜	2
156	竹	25
157	米	30
158	糸	70
159	缶	3
160	羊	26
161	羽	7
162	而	4
163	耒	4
164	耳	14
165	聿	8
166	肉	2
167	自	13
168	至	9
169	臼	4
170	舌	7
171	舟	10
172	艮	25
173	色	3
174	虍	9
175	虫	17
176	血	2
177	行	7
178	衣	36
179	西	12
180	臣	15
181	見	9
182	角	3
183	言	71
184	谷	7
185	豆	13
186	豕	14
187	豸	3
188	貝	81
189	赤	5
190	走	7
191	足	14
192	身	4
193	車	25
194	辛	15
195	辰	7
196	酉	17
197	釆	5
198	里	20
199	舛	4
200	麦	2
201	金	33
202	長	4
203	門	16
204	隶	6
205	隹	40
206	雨	16
207	青	7
208	非	7
209	奄	1
210	岡	4
211	免	4
212	斉	4
213	面	2
214	革	3
215	韭	0
216	音	17
217	頁	25
218	風	3
219	飛	1
220	食	12
221	首	2
222	香	1
223	品	6
224	馬	13
225	骨	4
226	高	2
227	髟	1
228	鬥	0
229	鬯	1
230	鬲	2
231	鬼	6
232	竜	2
233	韋	5
234	魚	4
235	鳥	5
236	鹵	0
237	鹿	3
238	麻	6
239	亀	2
240	滴	5
241	黄	2
242	黒	3
243	黍	0
244	黹	0
245	無	2
246	歯	2
247	黽	0
248	鼎	0
249	鼓	1
250	鼠	0
251	鼻	1
252	齊	0
253	龠	0
